,city,number,update_time
355,hz, 12393 ,2018-07-06
356,gz, 20680 ,2018-07-06
357,cd, 38019 ,2018-07-07
358,cq, 16930 ,2018-07-07
359,bj, 42655 ,2018-07-07
360,sz, 25417 ,2018-07-07
361,sh, 73524 ,2018-07-07
362,hz, 12506 ,2018-07-07
363,gz, 20178 ,2018-07-07
364,cd, 37985 ,2018-07-08
365,cq, 17243 ,2018-07-08
366,bj, 42752 ,2018-07-08
367,sz, 25399 ,2018-07-08
368,sh, 73701 ,2018-07-08
369,hz, 12439 ,2018-07-08
370,gz, 20589 ,2018-07-08
371,cd, 38037 ,2018-07-09
372,cq, 17524 ,2018-07-09
373,bj, 42690 ,2018-07-09
374,sz, 25354 ,2018-07-09
375,sh, 73896 ,2018-07-09
376,hz, 12556 ,2018-07-09
377,gz, 20736 ,2018-07-09
378,cd, 38099 ,2018-07-10
379,cq, 17607 ,2018-07-10
380,bj, 42725 ,2018-07-10
381,sz, 25151 ,2018-07-10
382,sh, 73847 ,2018-07-10
383,hz, 12617 ,2018-07-10
384,gz, 20709 ,2018-07-10
385,cd, 38088 ,2018-07-11
386,cq, 17855 ,2018-07-11
387,bj, 42809 ,2018-07-11
388,sz, 25293 ,2018-07-11
389,sh, 73661 ,2018-07-11
390,hz, 12723 ,2018-07-11
391,gz, 20695 ,2018-07-11
392,cd, 37902 ,2018-07-12
393,cq, 18074 ,2018-07-12
394,bj, 43002 ,2018-07-12
395,sz, 25273 ,2018-07-12
396,sh, 73784 ,2018-07-12
397,hz, 12909 ,2018-07-12
398,gz, 20597 ,2018-07-12
399,cd, 38115 ,2018-07-13
400,cq, 18229 ,2018-07-13
401,bj, 43298 ,2018-07-13
402,sz, 25347 ,2018-07-13
403,sh, 73636 ,2018-07-13
404,hz, 13124 ,2018-07-13
405,gz, 20544 ,2018-07-13
406,cd, 38181 ,2018-07-14
407,cq, 18424 ,2018-07-14
408,bj, 43574 ,2018-07-14
409,sz, 25410 ,2018-07-14
410,sh, 73570 ,2018-07-14
411,hz, 13259 ,2018-07-14
412,gz, 20541 ,2018-07-14
413,cd, 38136 ,2018-07-15
414,cq, 18619 ,2018-07-15
415,bj, 43484 ,2018-07-15
416,sz, 25432 ,2018-07-15
417,sh, 73465 ,2018-07-15
418,hz, 13229 ,2018-07-15
419,gz, 20561 ,2018-07-15
420,cd, 38377 ,2018-07-17
421,cq, 18894 ,2018-07-17
422,bj, 43491 ,2018-07-17
423,sz, 25306 ,2018-07-17
424,sh, 73345 ,2018-07-17
425,hz, 13418 ,2018-07-17
426,gz, 20705 ,2018-07-17
427,cd, 38491 ,2018-07-18
428,cq, 18999 ,2018-07-18
429,bj, 43460 ,2018-07-18
430,sz, 25409 ,2018-07-18
431,sh, 73232 ,2018-07-18
432,hz, 13467 ,2018-07-18
433,gz, 20780 ,2018-07-18
434,cd, 38716 ,2018-07-19
435,cq, 19171 ,2018-07-19
436,bj, 43811 ,2018-07-19
437,sz, 25343 ,2018-07-19
438,sh, 73158 ,2018-07-19
439,hz, 13840 ,2018-07-19
440,gz, 20640 ,2018-07-19
441,cd, 39712 ,2018-07-25
442,cq, 20322 ,2018-07-25
443,bj, 44384 ,2018-07-25
444,sz, 25632 ,2018-07-25
445,sh, 72963 ,2018-07-25
446,hz, 14542 ,2018-07-25
447,gz, 20945 ,2018-07-25
448,cd, 40102 ,2018-07-27
449,cq, 20600 ,2018-07-27
450,bj, 44672 ,2018-07-27
451,sz, 25640 ,2018-07-27
452,sh, 72685 ,2018-07-27
453,hz, 14897 ,2018-07-27
454,gz, 20834 ,2018-07-27
455,wh, 31923 ,2018-07-27
456,cd, 40580 ,2018-07-28
457,cq, 20930 ,2018-07-28
458,bj, 44997 ,2018-07-28
459,sz, 26018 ,2018-07-28
460,sh, 72564 ,2018-07-28
461,hz, 15154 ,2018-07-28
462,gz, 20856 ,2018-07-28
463,wh, 32093 ,2018-07-28
464,cd, 40744 ,2018-07-29
465,cq, 21163 ,2018-07-29
466,bj, 44897 ,2018-07-29
467,sz, 25990 ,2018-07-29
468,sh, 72704 ,2018-07-29
469,hz, 15222 ,2018-07-29
470,gz, 20877 ,2018-07-29
471,wh, 32204 ,2018-07-29
472,cd, 40668 ,2018-07-30
473,cq, 21197 ,2018-07-30
474,bj, 44963 ,2018-07-30
